,date,prcp
218,2017-07-12,0.05
219,2017-07-11,0.0
220,2017-07-11,0.01
221,2017-07-11,0.0
222,2017-07-11,
223,2017-07-11,0.0
224,2017-07-11,0.02
225,2017-07-11,0.0
226,2017-07-10,0.0
227,2017-07-10,0.0
228,2017-07-10,0.0
229,2017-07-10,
230,2017-07-10,0.0
231,2017-07-10,0.02
232,2017-07-10,0.02
233,2017-07-09,0.0
234,2017-07-09,0.09
235,2017-07-09,0.0
236,2017-07-09,0.0
237,2017-07-09,0.11
238,2017-07-09,0.0
239,2017-07-08,0.0
240,2017-07-08,0.02
241,2017-07-08,0.06
242,2017-07-08,0.0
243,2017-07-08,0.0
244,2017-07-08,0.02
245,2017-07-07,0.0
246,2017-07-07,0.02
247,2017-07-07,
248,2017-07-07,
249,2017-07-07,0.0
250,2017-07-07,0.18
251,2017-07-07,0.3
252,2017-07-06,0.0
253,2017-07-06,0.0
254,2017-07-06,
255,2017-07-06,0.0
256,2017-07-06,0.0
257,2017-07-06,0.02
258,2017-07-05,0.0
259,2017-07-05,0.0
260,2017-07-05,
261,2017-07-05,
262,2017-07-05,
263,2017-07-05,0.0
264,2017-07-05,0.0
265,2017-07-04,0.04
266,2017-07-04,0.03
267,2017-07-04,0.08
268,2017-07-04,0.0
269,2017-07-03,0.04
270,2017-07-03,0.13
271,2017-07-03,
272,2017-07-03,
273,2017-07-03,0.02
274,2017-07-03,0.15
275,2017-07-03,0.4
276,2017-07-02,0.02
277,2017-07-02,0.05
278,2017-07-02,
279,2017-07-02,0.15
280,2017-07-02,0.5
281,2017-07-01,0.02
282,2017-07-01,0.06
283,2017-07-01,0.08
284,2017-07-01,0.1
285,2017-06-30,0.08
286,2017-06-30,0.04
287,2017-06-30,0.0
288,2017-06-30,0.12
289,2017-06-30,0.07
290,2017-06-30,0.01
291,2017-06-30,0.2
292,2017-06-29,0.0
293,2017-06-29,0.03
294,2017-06-29,
295,2017-06-29,0.0
296,2017-06-29,0.0
297,2017-06-29,0.0
298,2017-06-29,0.04
299,2017-06-28,0.0
300,2017-06-28,0.01
301,2017-06-28,0.0
302,2017-06-28,0.0
303,2017-06-28,0.0
304,2017-06-28,0.02
305,2017-06-27,0.0
306,2017-06-27,0.0
307,2017-06-27,0.0
308,2017-06-27,0.0
309,2017-06-27,0.01
310,2017-06-27,0.1
311,2017-06-26,0.0
312,2017-06-26,0.02
313,2017-06-26,
314,2017-06-26,
315,2017-06-26,0.0
316,2017-06-26,0.06
317,2017-06-26,0.02
318,2017-06-25,0.0
319,2017-06-25,0.08
320,2017-06-25,0.0
321,2017-06-25,0.02
322,2017-06-25,0.5
323,2017-06-24,0.06
324,2017-06-24,0.0
325,2017-06-24,0.0
326,2017-06-24,0.36
327,2017-06-24,0.22
328,2017-06-23,0.0
329,2017-06-23,0.0
330,2017-06-23,
331,2017-06-23,0.0
332,2017-06-23,0.05
333,2017-06-23,0.12
334,2017-06-23,0.5
335,2017-06-22,0.0
336,2017-06-22,0.1
337,2017-06-22,0.0
338,2017-06-22,0.0
339,2017-06-22,0.06
340,2017-06-22,0.28
341,2017-06-21,0.0
342,2017-06-21,0.02
343,2017-06-21,
344,2017-06-21,
345,2017-06-21,0.19
346,2017-06-21,0.3
347,2017-06-20,0.02
348,2017-06-20,0.05
349,2017-06-20,0.17
350,2017-06-20,
351,2017-06-20,0.0
352,2017-06-20,0.31
353,2017-06-19,0.0
354,2017-06-19,0.05
355,2017-06-19,0.19
356,2017-06-19,
357,2017-06-19,0.01
358,2017-06-19,0.08
359,2017-06-19,0.4
360,2017-06-18,0.05
361,2017-06-18,0.25
362,2017-06-18,0.18
363,2017-06-18,0.0
364,2017-06-18,0.24
365,2017-06-18,0.7
366,2017-06-17,0.0
367,2017-06-17,0.35
368,2017-06-17,0.02
369,2017-06-17,0.0
370,2017-06-17,0.07
371,2017-06-17,0.1
372,2017-06-16,0.0
373,2017-06-16,0.02
374,2017-06-16,0.02
375,2017-06-16,
376,2017-06-16,0.0
377,2017-06-16,0.06
378,2017-06-16,0.1
379,2017-06-15,0.0
380,2017-06-15,0.17
381,2017-06-15,0.3
382,2017-06-15,
383,2017-06-15,0.0
384,2017-06-15,0.55
385,2017-06-15,1.69
386,2017-06-14,0.0
387,2017-06-14,0.27
388,2017-06-14,0.21
389,2017-06-14,
390,2017-06-14,0.06
391,2017-06-14,0.22
392,2017-06-14,0.81
393,2017-06-13,0.0
394,2017-06-13,0.36
395,2017-06-13,0.1
396,2017-06-13,
397,2017-06-13,0.03
398,2017-06-13,0.24
399,2017-06-13,0.65
400,2017-06-12,0.02
401,2017-06-12,0.19
402,2017-06-12,0.35
403,2017-06-12,0.14
404,2017-06-12,0.24
405,2017-06-12,0.81
406,2017-06-11,0.08
407,2017-06-11,0.24
408,2017-06-11,0.14
409,2017-06-11,0.25
410,2017-06-11,0.74
411,2017-06-11,0.7
412,2017-06-10,0.04
413,2017-06-10,0.21
414,2017-06-10,0.53
415,2017-06-10,0.13
416,2017-06-10,0.62
417,2017-06-10,
418,2017-06-09,0.0
419,2017-06-09,0.02
420,2017-06-09,0.0
421,2017-06-09,
422,2017-06-09,0.0
423,2017-06-09,0.02
424,2017-06-08,0.0
425,2017-06-08,0.02
426,2017-06-08,0.01
427,2017-06-08,
428,2017-06-08,0.0
429,2017-06-08,0.0
430,2017-06-08,0.0
431,2017-06-07,0.0
432,2017-06-07,0.0
433,2017-06-07,0.0
434,2017-06-07,
435,2017-06-07,0.0
436,2017-06-07,0.0
437,2017-06-07,0.01
438,2017-06-06,0.0
439,2017-06-06,0.0
440,2017-06-06,0.0
441,2017-06-06,
442,2017-06-06,0.0
443,2017-06-06,0.0
444,2017-06-06,0.0
445,2017-06-05,0.0
446,2017-06-05,0.0
447,2017-06-05,0.02
448,2017-06-05,
449,2017-06-05,0.0
450,2017-06-05,0.05
451,2017-06-05,0.01
452,2017-06-04,0.0
453,2017-06-04,0.15
454,2017-06-04,0.05
455,2017-06-04,0.0
456,2017-06-04,0.13
457,2017-06-04,0.82
458,2017-06-03,0.02
459,2017-06-03,0.2
460,2017-06-03,0.16
461,2017-06-03,0.15
462,2017-06-03,0.08
463,2017-06-03,
464,2017-06-02,0.0
465,2017-06-02,0.1
466,2017-06-02,0.15
467,2017-06-02,
468,2017-06-02,0.0
469,2017-06-02,0.09
470,2017-06-01,0.0
471,2017-06-01,0.03
472,2017-06-01,0.0
473,2017-06-01,0.0
474,2017-06-01,0.0
475,2017-06-01,0.01
476,2017-05-31,0.02
477,2017-05-31,0.1
478,2017-05-31,0.0
479,2017-05-31,0.0
480,2017-05-31,0.25
481,2017-05-30,0.26
482,2017-05-30,0.2
483,2017-05-30,0.04
484,2017-05-30,0.11
485,2017-05-30,1.12
486,2017-05-30,
487,2017-05-29,0.0
488,2017-05-29,0.02
489,2017-05-29,0.0
490,2017-05-29,0.0
491,2017-05-29,0.4
492,2017-05-28,0.02
493,2017-05-28,0.29
494,2017-05-28,0.02
495,2017-05-28,0.0
496,2017-05-28,0.08
497,2017-05-28,0.0
498,2017-05-27,0.01
499,2017-05-27,0.0
500,2017-05-27,0.0
501,2017-05-27,0.0
502,2017-05-27,0.0
503,2017-05-27,0.5
504,2017-05-26,0.02
505,2017-05-26,0.0
506,2017-05-26,0.0
507,2017-05-26,0.0
508,2017-05-26,0.0
509,2017-05-25,0.15
510,2017-05-25,0.37
511,2017-05-25,0.07
512,2017-05-25,0.55
513,2017-05-25,0.2
514,2017-05-25,0.88
515,2017-05-24,0.13
516,2017-05-24,0.58
517,2017-05-24,0.1
518,2017-05-24,0.61
519,2017-05-24,0.3
520,2017-05-24,2.17
521,2017-05-23,0.08
522,2017-05-23,0.02
523,2017-05-23,0.11
524,2017-05-23,0.0
525,2017-05-23,0.06
526,2017-05-23,0.44
527,2017-05-22,0.0
528,2017-05-22,0.0
529,2017-05-22,
